Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,502433,324,1550.7,1536.0,1312,1792,167.6,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,461376,108,4272.0,4256.0,4192,4512,84.2,recompute_w_u_fwd_kernel
0.3,442625,402,1101.1,1088.0,768,1280,49.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,415649,108,3848.6,3840.0,3776,4032,45.0,chunk_fwd_kernel_o
0.3,389344,384,1013.9,992.0,832,1216,41.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.3,381826,108,3535.4,3520.0,3456,3776,76.3,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
0.3,378240,402,940.9,928.0,704,1248,52.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.3,372448,108,3448.6,3392.0,3360,3840,104.5,_causal_conv1d_fwd_kernel
0.2,356064,108,3296.9,3264.0,3200,3552,86.4,chunk_scaled_dot_kkt_fwd_kernel
0.2,331456,108,3069.0,2944.0,2912,5152,476.1,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,299457,384,779.8,768.0,736,960,28.5,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.2,294848,36,8190.2,8000.0,7840,9568,482.9,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.2,253472,420,603.5,608.0,448,800,52.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,227234,108,2104.0,2080.0,2016,2432,75.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
0.1,165409,108,1531.6,1536.0,1408,1696,73.9,layer_norm_fwd_kernel
0.1,154048,108,1426.4,1408.0,1408,1664,36.1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,128352,108,1188.4,1184.0,1088,1472,57.5,_fused_post_conv_kernel
0.1,127520,108,1180.7,1152.0,1120,1408,78.9,triton_per_fused__to_copy_add_fused_add_rms_norm_marlin_gemm_0
0.1,122624,108,1135.4,1120.0,1120,1248,24.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.1,120000,108,1111.1,1120.0,1088,1184,22.2,chunk_local_cumsum_scalar_kernel
0.1,96384,108,892.4,864.0,832,1024,52.2,triton_poi_fused_marlin_gemm_mul_silu_slice_1
0.1,95296,72,1323.6,1280.0,1248,1536,78.3,triton_per_fused__to_copy_add_fused_add_rms_norm_2
0.1,89441,108,828.2,832.0,800,992,30.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,79392,36,2205.3,2176.0,2080,2464,103.6,_fused_qk_rmsnorm_rope_gate_kernel
0.0,61664,108,571.0,576.0,544,640,21.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,56993,36,1583.1,1568.0,1568,1601,16.2,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.0,47744,36,1326.2,1280.0,1248,1504,78.5,triton_per_fused__to_copy_add_fused_add_rms_norm_3
0.0,47744,36,1326.2,1280.0,1248,1568,80.0,triton_per_fused__to_copy_add_fused_add_rms_norm_marlin_gemm_2
0.0,42720,36,1186.7,1152.0,1120,1440,81.1,triton_per_fused__to_copy_add_fused_add_rms_norm_marlin_gemm_1
0.0,38976,72,541.3,544.0,512,576,14.0,triton_poi_fused_zeros_3
0.0,32192,36,894.2,864.0,832,1024,49.5,triton_poi_fused_marlin_gemm_mul_silu_slice_2
0.0,28224,36,784.0,768.0,768,832,20.9,triton_poi_fused_marlin_gemm_mul_sigmoid_view_0
0.0,19232,6,3205.3,3184.0,3136,3328,76.8,_zero_kv_blocks_kernel
0.0,18240,18,1013.3,960.0,928,1216,99.4,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,16512,30,550.4,544.0,512,608,21.3,triton_poi_fused_zeros_4
0.0,12160,18,675.6,640.0,608,768,56.9,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,10624,6,1770.7,1760.0,1632,1952,125.8,triton_per_fused__to_copy_add_embedding_rms_norm_0
0.0,3648,6,608.0,608.0,576,640,28.6,triton_poi_fused_zeros_1
